[2018-08-30T12:43:08.339368+08:00] non0.taskqueue.DEBUG: 123 [] []
[2018-08-30T12:55:52.967937+08:00] non0.taskqueue.INFO: 刷新配置 [] []
[2018-08-30T12:59:46.439521+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:00:16.839610+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:28:38.862205+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:29:07.460385+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:29:43.301675+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:32:00.241056+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:33:55.220913+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:34:06.776677+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:35:07.092596+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:44:58.810521+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T13:45:32.413425+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T14:03:51.909010+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T14:04:32.610753+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T14:04:32.628401+08:00] non0.taskqueue.INFO: 启动自检 [] []
[2018-08-30T14:04:32.628650+08:00] non0.taskqueue.INFO: 自检完成,开起队列服务 [] []
[2018-08-30T14:04:54.629880+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T14:04:54.636429+08:00] non0.taskqueue.INFO: 执行服务:RefreshConfigServer [] []
[2018-08-30T14:04:54.637745+08:00] non0.taskqueue.INFO: 执行刷新配置文件任务 [] []
[2018-08-30T14:04:54.638140+08:00] non0.taskqueue.INFO: 配置刷新成功 [] []
[2018-08-30T14:04:54.639427+08:00] non0.taskqueue.INFO: 服务结束:RefreshConfigServer [] []
[2018-08-30T14:05:10.109768+08:00] non0.taskqueue.INFO: 配置初始化完成 [] []
[2018-08-30T14:05:10.117090+08:00] non0.taskqueue.INFO: 执行服务:StopServer [] []
[2018-08-30T14:05:10.117693+08:00] non0.taskqueue.INFO: 收到停止任务，正在处理任务停止 [] []
[2018-08-30T14:05:10.118195+08:00] non0.taskqueue.INFO: 服务结束:StopServer [] []
[2018-08-30T14:05:10.118588+08:00] non0.taskqueue.INFO: 服务成功关闭 [] []
